=== per-thread CPU from /proc ===
48627897 26842 (GC Thread#1) 0 48627897
48626021 26820 (GC Thread#0) 0 48626021
192072 36615 (DB-WRITER) S 90122 101950
41894 26822 (G1 Conc#0) 0 41894
28265 36613 (BUY-THREAD) S 20417 7848
10570 26828 (VM Thread) 0 10570
4236 26824 (G1 Refine#0) 0 4236
2624 26849 (pool-3-thread-1) S 2524 100
2241 26833 (Monitor Deflati) 0 2241
565 26834 (C2 CompilerThre) 0 565
421 26825 (G1 Service) 0 421
204 26844 (connectionLostC) S 141 63
203 26837 (Common-Cleaner) S 141 62
179 26835 (C1 CompilerThre) 0 179
48 26819 (java) S 44 4
25 26843 (WebSocketSelect) S 11 14
9 48683 (pool-2-thread-6) S 9 0
2 36612 (pool-2-thread-3) S 2 0
2 26845 (WebSocketWorker) S 2 0
0 48685 (pool-2-thread-7) S 0 0
